id,posto_id,tipo,valor,created_at,updated_at
43,43,GASOLINA ADITIVADA,"R$ 3,49",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
25,25,GASOLINA ADITIVADA,"R$ 3,76",2020-05-15 18:06:15+00,2020-05-21 18:00:32+00
1,1,GASOLINA ADITIVADA,"R$ 3,52",2020-05-15 18:06:14+00,2020-05-17 20:25:21+00
50,50,GASOLINA ADITIVADA,"R$ 3,50",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
47,47,GASOLINA ADITIVADA,"R$ 3,79",2020-05-15 18:06:15+00,2020-05-21 18:00:32+00
48,48,GASOLINA ADITIVADA,"R$ 3,79",2020-05-15 18:06:15+00,2020-05-21 18:00:32+00
57,57,GASOLINA ADITIVADA,"R$ 3,59",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
59,59,GASOLINA ADITIVADA,"R$ 3,59",2020-05-15 18:06:16+00,2020-05-15 18:06:16+00
60,60,GASOLINA ADITIVADA,"R$ 3,59",2020-05-15 18:06:16+00,2020-05-15 18:06:16+00
62,62,GASOLINA ADITIVADA,"R$ 3,59",2020-05-15 18:06:16+00,2020-05-15 18:06:16+00
41,41,GASOLINA ADITIVADA,"R$ 3,79",2020-05-15 18:06:15+00,2020-05-21 18:00:32+00
65,65,GASOLINA ADITIVADA,"R$ 3,59",2020-05-15 18:06:16+00,2020-05-15 18:06:16+00
70,51,ETANOL,"R$ 2,64",2020-05-15 18:06:29+00,2020-05-15 18:06:29+00
273,39,GASOLINA COMUM,"R$ 4,20",2020-05-13 12:17:23+00,2020-07-13 00:11:52+00
18,18,GASOLINA ADITIVADA,"R$ 4,20",2020-05-15 03:06:15+00,2020-07-13 00:11:52+00
877,277,OLEO DIESEL B S500 BICO,"R$ 3,19",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
409,108,OLEO DIESEL B S500 COMUM,"R$ 2,99",2020-05-21 18:31:00+00,2020-06-27 10:16:50+00
890,283,DIESEL S,"R$ 3,84",2020-06-04 18:05:34+00,2020-06-29 03:05:31+00
626,107,ETANOL,"R$ 3,26",2020-05-28 13:20:50+00,2020-06-19 10:46:47+00
