id,nome,endereco,contato,status,cidade,latitude,longitude,url,bandeira,created_at,updated_at
22,POSTO BOULEVARD,"RUA CORONEL JOSE PINTO 1140 SAO JOAO 44051400, FEIRA DE SANTANA",7532230391,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2410597,-38.9504148,https://goo.gl/maps/RVyghFMvX7PGYm3Q6,menor,2020-05-15 18:06:15+00,2020-05-18 17:39:39+00
23,POSTO AYRTON SENNA,"AVENIDA AYRTON SENNA DA SILVA S/N CONCEIÇÃO 44065002, FEIRA DE SANTANA",7532119606,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2270668,-38.9444074,https://goo.gl/maps/y1RZhTg7ZAoXuWg69,menor,2020-05-15 18:06:15+00,2020-05-18 17:47:18+00
24,POSTO SENHOR DOS PASSOS,"AVENIDA SENHOR DOS PASSOS 1705 CENTRO 44002375, FEIRA DE SANTANA",7536124200,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2490194,-38.9658661,https://goo.gl/maps/u2sHEMnp81nuyt2u7,menor,2020-05-15 18:06:15+00,2020-05-18 17:50:02+00
26,POSTO VILA OLIMPIA,"AVENIDA RIO DE JANEIRO 845 PEDRA DO DESCANSO 44007195, FEIRA DE SANTANA",7536124200,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2645693,-38.981155,https://goo.gl/maps/x3a7U8wxUJfMDArt6,menor,2020-05-15 18:06:15+00,2020-05-18 17:58:32+00
28,POSTO ELDOURADO,"RUA JOSE JOAQUIM SEABRA 410 CENTRO 44002000, FEIRA DE SANTANA",,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2589924,-38.9658715,https://goo.gl/maps/DuqA6xUB3A1QAxQCA,outros,2020-05-15 18:06:15+00,2020-05-18 18:02:08+00
27,POSTO KALILANDIA II,"AVENIDA PRESIDENTE DUTRA 1320 PONTO CENTRAL 44075516, FEIRA DE SANTANA",7132715277,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2598659,-38.953481,https://goo.gl/maps/mwHRYZgKiaCLnaYs5,shell,2020-05-15 18:06:15+00,2020-05-18 18:00:07+00
29,POSTO CONTORNO,"AVENIDA EDUARDO FROES DA MOTA 1951 PARQ. GETULIO VARGAS 44076822, FEIRA DE SANTANA",7532230391,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2510758,-38.9341769,https://goo.gl/maps/ctmqdVz6temUnj6E9,menor,2020-05-15 18:06:15+00,2020-05-18 18:04:06+00
30,POSTO BAHIA,"AVENIDA TRANSNORDESTINA 2060 CAMPO LIMPO 44032411, FEIRA DE SANTANA",7532119606,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2207237,-38.968194,https://goo.gl/maps/8vxStUinMr4ZBUsp7,menor,2020-05-15 18:06:15+00,2020-05-18 18:06:04+00
31,POSTO RADIAL,"RODOVIA BR 116 SN NOVO HORIZONTE 44036331, FEIRA DE SANTANA",7532241247,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2144698,-38.9653286,https://goo.gl/maps/DLSFUtt16VjxaSAA6,shell,2020-05-15 18:06:15+00,2020-05-18 18:08:53+00
32,POSTO TROPICAL,"ATALHO EDUARDO FROES DA MOTA 5700 CIDADE NOVA 44053005, FEIRA DE SANTANA",7532257094,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.231852,-38.9560785,https://goo.gl/maps/y42NqZJvgiFhMocZ9,shell,2020-05-15 18:06:15+00,2020-05-18 18:12:35+00
